id,so,so_date,so_del_date,code,qty,closed,act_disp_qty,act_disp_date,rate,currency,customer
,RDPJun-w1,03/07/2018,06/07/2018,FB150C10,2328,1,2328,,,USD,Domestic
,RDPJun-w1,03/07/2018,06/07/2018,FB138C5001,1000,1,1000,,,USD,Domestic
,RDPJun-w1,04/14/2018,06/07/2018,FB226010,1000,1,1000,,,USD,Domestic
,RDPJun-w1,04/14/2018,06/07/2018,FB226010,500,1,500,,,USD,Domestic
,RDPJun-w1,03/07/2018,06/07/2018,FB138C5001,1000,1,1000,,0,USD,Domestic
,4501647381,04/13/2018,06/10/2018,FB23010000UK,500,1,500,,,USD,UK
,4501649273,04/18/2018,06/10/2018,FC25010000UK,357,1,357,,,USD,UK
,4501649273,04/18/2018,06/10/2018,FC25020000UC,150,1,150,,,USD,UK
,17021227,04/05/2018,06/11/2018,FB29904300EX,648,1,648,,17.51,USD,NWI
,17021227,04/05/2018,06/11/2018,FB29907800EX,288,1,288,,27.91,USD,NWI
,17021227,04/05/2018,06/11/2018,FB29913000EX,200,1,200,,17.67,USD,NWI
,17021227,04/05/2018,06/11/2018,FB29901700EX,280,1,280,,61,USD,NWI
,17021227,04/05/2018,06/11/2018,FB43213000EX,480,1,480,,10.71,USD,NWI
,17021227,04/05/2018,06/11/2018,FB39000800EX,197,1,197,,28.4,USD,NWI
,17021078,04/04/2018,06/12/2018,FB47218101EX,1160,1,1160,,8.45,USD,Delta Int Trade
,17021078,04/04/2018,06/12/2018,FB47418101EX,2950,1,2950,,8.45,USD,Delta Int Trade
,17021133,04/13/2018,06/12/2018,FB28004300EX,1296,1,1296,,12.57,USD,NWI
,17021133,04/13/2018,06/12/2018,FB280078C0EX,210,1,210,,23.97,USD,NWI
,17021133,04/13/2018,06/12/2018,FB55001700EX,174,1,174,,45.49,USD,NWI
,17021133,04/13/2018,06/12/2018,FB55102400EX,180,1,180,,77.18,USD,NWI
,17021127,03/21/2018,06/13/2018,FB23010000FR,350,1,350,,67.68,USD,Kerala Nature
,17021229,04/16/2018,06/13/2018,FB260117NFEX,650,1,650,,60.48,USD,Apeiron
,17021229,04/16/2018,06/13/2018,FB33311700EX,348,1,348,,59.76,USD,Apeiron
,17021230,04/16/2018,06/14/2018,FB57812500EX,366,1,366,,25.92,USD,Karsten Intl 
,RDPJun-w2,03/07/2018,06/14/2018,FB150C10,107,1,107,,,USD,Domestic
,RDPJun-w2,04/14/2018,06/14/2018,FC250C20N,3325,1,3325,,,USD,Domestic
,17021082,04/12/2018,06/18/2018,FB160150GCZ,280,1,280,,24.72,USD,Mattes Trading
,17021082,04/12/2018,06/18/2018,FB263100H0EX,348,1,348,,13.14,USD,Mattes Trading
,17021082,04/12/2018,06/18/2018,FB262100W0EX,223,1,223,,13.74,USD,Mattes Trading
,17021082,04/12/2018,06/18/2018,FB261100I0CZ,168,1,168,,25.6,USD,Mattes Trading
,17021129,03/26/2018,06/18/2018,FB90011800EX,500,1,500,,10.75,USD,Shield Line LLC
,17021085,04/24/2018,06/20/2018,FB47418101EX,2210,1,2210,,8.45,USD,Delta Int Trade
