so,so_date,so_del_date,qty,closed,act_disp_qty,act_disp_date,rate,currency,customer,fgcode_id
17021131,03-04-2018,06-06-2018,180,1,180,,77.18,USD,NWI,339
17021132,05-04-2018,28-05-2018,348,1,348,,26.1,USD,Dtales,481
17021133,13-04-2018,12-06-2018,1296,1,1296,,12.57,USD,NWI,270
17021133,13-04-2018,12-06-2018,210,1,210,,23.97,USD,NWI,273
17021133,13-04-2018,12-06-2018,174,1,174,,45.49,USD,NWI,338
17021133,13-04-2018,12-06-2018,180,1,180,,77.18,USD,NWI,339
17021134,20-04-2018,21-07-2018,20,1,20,,31.2,USD,"KIBOKO ENTERPRISES, UGANDA",402
17021134,20-04-2018,21-07-2018,0,1,0,,29.1,USD,"KIBOKO ENTERPRISES, UGANDA",401
17021134,20-04-2018,21-07-2018,88,1,88,,22.2,USD,"KIBOKO ENTERPRISES, UGANDA",379
17021135,20-04-2018,21-07-2018,0,1,0,,19.4,USD,"KIBOKO ENTERPRISES, UGANDA",397
17021135,20-04-2018,21-07-2018,167,1,167,,20.6,USD,"KIBOKO ENTERPRISES, UGANDA",378
17021136,03-05-2018,28-06-2018,600,1,600,,0,USD,Qatar,76
17021136,03-05-2018,28-06-2018,500,1,500,,0,USD,Qatar,74
17021136,03-05-2018,28-06-2018,200,1,200,,0,USD,Qatar,75
17021136,03-05-2018,28-06-2018,400,1,400,,0,USD,Qatar,77
17021136,03-05-2018,28-06-2018,217,1,217,,0,USD,Qatar,135
17021136,03-05-2018,28-06-2018,800,1,800,,0,USD,Qatar,106
17021136,03-05-2018,28-06-2018,1600,1,1600,,0,USD,Qatar,119
17021140,17-05-2018,26-06-2018,475,1,475,,16.56,USD,"IBRAGIM, TURKMENISTAN",447
17021140,17-05-2018,26-06-2018,475,1,475,,16.56,USD,"IBRAGIM, TURKMENISTAN",466
17021140,17-05-2018,26-06-2018,475,1,475,,16.56,USD,"IBRAGIM, TURKMENISTAN",462
17021140,17-05-2018,26-06-2018,475,1,475,,16.56,USD,"IBRAGIM, TURKMENISTAN",465
17021141,17-05-2018,26-06-2018,475,1,475,,16.56,USD,"IBRAGIM, TURKMENISTAN",447
17021141,17-05-2018,26-06-2018,463,1,463,,16.56,USD,"IBRAGIM, TURKMENISTAN",466
17021141,17-05-2018,26-06-2018,454,1,454,,16.56,USD,"IBRAGIM, TURKMENISTAN",462
17021141,17-05-2018,26-06-2018,475,1,475,,16.56,USD,"IBRAGIM, TURKMENISTAN",465
17021144,21-05-2018,27-06-2018,672,1,672,,38.22,USD,NWI,267
17021144,21-05-2018,27-06-2018,100,1,100,,48.91,USD,NWI,274
17021144L1,21-05-2018,27-06-2018,300,1,300,,48.91,USD,NWI,274
17021145,21-05-2018,20-07-2018,554,1,554,,38.22,USD,Mattes Trading,468
17021145,21-05-2018,20-07-2018,543,1,543,,38.22,USD,Mattes Trading,479
17021146,22-05-2018,14-07-2018,100,1,100,,,USD,EXCLUSIVE EQUIPMENTS KENYA,379
17021149,29-05-2018,24-07-2018,348,1,348,,26.1,USD,Dtales,481
17021215,14-05-2018,23-07-2018,2700,1,2700,,22.56,USD,Keefe,70
17021224,20-03-2018,23-07-2018,420,1,420,,41.08,USD,NWI,266
17021224L1,20-03-2018,23-07-2018,300,1,300,,10.5,USD,NWI,252
17021224L2,20-03-2018,23-07-2018,200,1,200,,10.5,USD,NWI,252
17021224L3,20-03-2018,23-07-2018,400,1,400,,9.5,USD,NWI,253
17021224L4,20-03-2018,23-07-2018,600,1,600,,9.5,USD,NWI,253
17021225,23-04-2018,28-05-2018,183,1,183,,38.2,USD,NWI,267
17021225,24-03-2018,28-05-2018,480,1,480,,48.64,USD,NWI,269
17021225,24-03-2018,28-05-2018,270,1,270,,14.51,USD,NWI,265
17021225,24-03-2018,28-05-2018,0,1,0,,55.4,USD,NWI,256
17021225,24-03-2018,28-05-2018,240,1,240,,10.71,USD,NWI,280
